Running | Monday | 30 min | Medium | Cardio
Push-ups | Wednesday | 20 min | Hard | Strength
Cycling | Friday | 45 min | Light | Cardio
psihologija | Wednesday | 1000 min | Light | Cardio
push up | Friday | 45 min | Hard | Cardio + Strength
t | Monday | 5 min | Medium | Strength
5 | Monday | 5 min | Medium | Strength
5 | Monday | 5 min | Medium | None
5 | Monday | 5 min | Medium | None
5 | Monday | 5 min | Medium | None
5 | Monday | 5 min | Medium | None
5 | Monday | 5 min | Medium | None
5 | Monday | 5 min | Medium | None
5 | Monday | 5 min | Medium | None
5 | Monday | 5 min | Medium | None
